Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
AXP,157,157.0,trailing_stop,sell,165.5785,165.54,filled,2023-08-04 18:44:17.229650+00:00,2023-08-04 18:44:17.707418+00:00
GS,73,73.0,trailing_stop,sell,353.34905,353.243561,filled,2023-08-04 18:44:09.171322+00:00,2023-08-04 18:44:11.498966+00:00
CI,90,90.0,trailing_stop,sell,286.0834,286.0,filled,2023-08-04 18:41:39.769950+00:00,2023-08-04 18:41:40.194771+00:00
INTC,749,749.0,trailing_stop,sell,35.0266,35.02,filled,2023-08-04 18:39:13.842594+00:00,2023-08-04 18:39:14.704917+00:00
C,565,565.0,trailing_stop,sell,45.98965,45.979292,filled,2023-08-04 18:22:03.927052+00:00,2023-08-04 18:22:05.287790+00:00
WFC,578,578.0,trailing_stop,sell,45.0145,45.01,filled,2023-08-04 18:21:16.103943+00:00,2023-08-04 18:21:17.038949+00:00
CVS,351,351.0,trailing_stop,sell,73.3628,73.36,filled,2023-08-04 17:27:42.540675+00:00,2023-08-04 17:27:43.361140+00:00
TSLA,100,100.0,trailing_stop,buy,260.3475,260.3281,filled,2023-08-04 15:54:24.856913+00:00,2023-08-04 15:54:26.492601+00:00
AVGO,29,29.0,trailing_stop,buy,886.4720725,886.57,filled,2023-08-04 15:42:18.371027+00:00,2023-08-04 15:42:20.354094+00:00
NFLX,60,60.0,trailing_stop,buy,432.66405,432.78,filled,2023-08-04 15:34:09.337674+00:00,2023-08-04 15:34:09.732400+00:00
INTU,52,52.0,trailing_stop,buy,503.99825,504.16,filled,2023-08-04 15:03:06.679084+00:00,2023-08-04 15:03:06.959962+00:00
QCOM,220,220.0,trailing_stop,buy,119.8918,119.9,filled,2023-08-04 14:18:11.162885+00:00,2023-08-04 14:18:11.663194+00:00
ABNB,185,185.0,trailing_stop,buy,139.6843,139.73,filled,2023-08-04 14:06:03.480051+00:00,2023-08-04 14:06:04.874466+00:00
NOW,46,46.0,trailing_stop,sell,552.9199,552.31,filled,2023-08-04 14:02:12.518690+00:00,2023-08-04 14:02:12.939440+00:00
SPY,125,125.0,market,sell,,451.59,filled,2023-08-04 13:49:34.829105+00:00,2023-08-04 13:49:36.031967+00:00
PFE,373,0.0,trailing_stop,buy,35.41335,,canceled,2023-08-04 13:49:34.712765+00:00,
PFE,373,373.0,market,sell,,35.21,filled,2023-08-04 13:49:33.544782+00:00,2023-08-04 13:49:34.503094+00:00
DHR,50,0.0,trailing_stop,buy,257.31265,,canceled,2023-08-04 13:49:33.413166+00:00,
DHR,50,50.0,market,sell,,257.53,filled,2023-08-04 13:49:32.156635+00:00,2023-08-04 13:49:32.364428+00:00
TSLA,100,100.0,market,sell,,261.56,filled,2023-08-04 13:49:30.826558+00:00,2023-08-04 13:49:31.470790+00:00
NFLX,60,60.0,market,sell,,428.688334,filled,2023-08-04 13:49:28.429015+00:00,2023-08-04 13:49:29.964465+00:00
INTU,52,52.0,market,sell,,505.005769,filled,2023-08-04 13:49:26.071869+00:00,2023-08-04 13:49:27.896737+00:00
PG,166,0.0,trailing_stop,buy,157.492475,,canceled,2023-08-04 13:49:25.969653+00:00,
PG,166,166.0,market,sell,,157.28,filled,2023-08-04 13:49:24.725062+00:00,2023-08-04 13:49:24.988255+00:00
ISRG,83,0.0,trailing_stop,buy,312.8839,,canceled,2023-08-04 13:49:24.607236+00:00,
ISRG,83,83.0,market,sell,,312.0,filled,2023-08-04 13:49:23.361085+00:00,2023-08-04 13:49:23.823842+00:00
VRTX,75,0.0,trailing_stop,buy,345.303,,canceled,2023-08-04 13:49:23.249782+00:00,
VRTX,75,75.0,market,sell,,346.36,filled,2023-08-04 13:49:22.051035+00:00,2023-08-04 13:49:22.309261+00:00
TMO,47,0.0,trailing_stop,buy,555.205,,canceled,2023-08-04 13:49:21.843461+00:00,
TMO,47,47.0,market,sell,,549.06,filled,2023-08-04 13:49:20.584567+00:00,2023-08-04 13:49:21.538701+00:00
JNJ,153,0.0,trailing_stop,buy,170.40835,,canceled,2023-08-04 13:49:20.483179+00:00,
JNJ,153,153.0,market,sell,,172.03,filled,2023-08-04 13:49:15.975521+00:00,2023-08-04 13:49:19.681585+00:00
ABNB,185,185.0,market,sell,,140.99,filled,2023-08-04 13:49:14.666592+00:00,2023-08-04 13:49:15.071166+00:00
IBM,180,0.0,trailing_stop,buy,146.16,,canceled,2023-08-04 13:49:14.562799+00:00,
IBM,180,180.0,market,sell,,145.52,filled,2023-08-04 13:49:13.371200+00:00,2023-08-04 13:49:14.177661+00:00
KO,423,0.0,trailing_stop,buy,61.5293,,canceled,2023-08-04 13:49:13.264524+00:00,
KO,423,423.0,market,sell,,61.77,filled,2023-08-04 13:49:12.068091+00:00,2023-08-04 13:49:12.865664+00:00
AAPL,136,0.0,trailing_stop,buy,184.80105,,canceled,2023-08-04 13:49:11.963985+00:00,
AAPL,136,136.0,market,sell,,186.13,filled,2023-08-04 13:49:10.766398+00:00,2023-08-04 13:49:10.994322+00:00
ABT,243,0.0,trailing_stop,buy,109.12265,,canceled,2023-08-04 13:49:10.658888+00:00,
ABT,243,243.0,market,sell,,107.93,filled,2023-08-04 13:49:08.452455+00:00,2023-08-04 13:49:10.062047+00:00
ORCL,228,0.0,trailing_stop,buy,115.968825,,canceled,2023-08-04 13:49:08.343087+00:00,
ORCL,228,228.0,market,sell,,115.56,filled,2023-08-04 13:49:07.146540+00:00,2023-08-04 13:49:07.378786+00:00
QCOM,220,220.0,market,sell,,118.574045,filled,2023-08-04 13:49:05.752016+00:00,2023-08-04 13:49:06.819721+00:00
ADP,105,0.0,trailing_stop,buy,249.05055,,canceled,2023-08-04 13:49:05.649185+00:00,
ADP,105,105.0,market,sell,,247.98,filled,2023-08-04 13:49:04.436044+00:00,2023-08-04 13:49:05.093346+00:00
AVGO,29,29.0,market,sell,,883.35,filled,2023-08-04 13:49:02.222813+00:00,2023-08-04 13:49:03.878428+00:00
SCHW,396,396.0,market,buy,,65.65,filled,2023-08-04 13:49:00.800143+00:00,2023-08-04 13:49:01.865697+00:00
COST,46,0.0,trailing_stop,sell,550.66425,,canceled,2023-08-04 13:49:00.695072+00:00,
COST,46,46.0,market,buy,,557.74,filled,2023-08-04 13:48:59.527478+00:00,2023-08-04 13:49:00.069195+00:00
NOW,46,46.0,market,buy,,561.65,filled,2023-08-04 13:48:58.225299+00:00,2023-08-04 13:48:58.994369+00:00
TJX,303,0.0,trailing_stop,sell,85.104,,canceled,2023-08-04 13:48:58.119969+00:00,
TJX,303,303.0,market,buy,,86.4,filled,2023-08-04 13:48:56.906486+00:00,2023-08-04 13:48:57.594945+00:00
BAC,832,832.0,market,buy,,31.57,filled,2023-08-04 13:48:52.494073+00:00,2023-08-04 13:48:55.753355+00:00
BA,112,112.0,market,buy,,231.59,filled,2023-08-04 13:48:52.221891+00:00,2023-08-04 13:48:52.254217+00:00
INTC,749,749.0,market,buy,,34.9,filled,2023-08-04 13:48:49.802372+00:00,2023-08-04 13:48:51.006222+00:00
AXP,157,157.0,market,buy,,166.61,filled,2023-08-04 13:48:47.420599+00:00,2023-08-04 13:48:48.570834+00:00
LMT,58,0.0,trailing_stop,sell,443.2303,,canceled,2023-08-04 13:48:47.317490+00:00,
LMT,58,58.0,market,buy,,448.65,filled,2023-08-04 13:48:46.070679+00:00,2023-08-04 13:48:47.138715+00:00
T,1854,0.0,trailing_stop,sell,13.87865,,canceled,2023-08-04 13:48:45.965300+00:00,
T,1854,1854.0,market,buy,,14.08,filled,2023-08-04 13:48:41.526498+00:00,2023-08-04 13:48:44.866247+00:00
C,565,565.0,market,buy,,46.273487,filled,2023-08-04 13:48:38.097853+00:00,2023-08-04 13:48:40.476103+00:00
CVS,351,351.0,market,buy,,74.308319,filled,2023-08-04 13:48:35.645863+00:00,2023-08-04 13:48:37.140985+00:00
ELV,55,55.0,market,buy,,469.95,filled,2023-08-04 13:48:33.324640+00:00,2023-08-04 13:48:34.722819+00:00
GE,232,0.0,trailing_stop,sell,112.16195,,canceled,2023-08-04 13:48:33.207559+00:00,
